iso3,year,country_id,region_id,g_whoregion,success,cohort,prop_success,e_inc_100k,e_mort_100k,c_cdr,year_z,e_inc_100k_z,e_mort_100k_z,c_cdr_z,e_tbhiv_prct,used_2021_defs_flg
ZAF,2012,178,1,AFR,253148,328393,0.7708690501929091,1160,161,52,-1.6989466701577367,5.986868050599937,3.175788734258595,-1.0298902198809032,64,NA
ZAF,2013,178,1,AFR,251768,321087,0.7841114713457723,1110,137,52,-1.4009588499021106,5.6961258394785,2.616909146659562,-1.0298902198809032,62,NA
ZAF,2014,178,1,AFR,248106,319752,0.7759325977632665,1070,124,52,-1.1029710296464843,5.463532070581351,2.314182703376752,-1.0298902198809032,61,NA
ZAF,2015,178,1,AFR,237192,291793,0.8128776221499487,988,116,51,-0.8049832093908581,4.986714844342196,2.1278895075104076,-1.0953973452965706,57,NA
ZAF,2016,178,1,AFR,194489,236702,0.8216618364018893,805,112,51,-0.5069953891352319,3.9225983516377396,2.034742909577236,-1.0953973452965706,59,NA
ZAF,2017,178,1,AFR,184531,240332,0.7678170197892915,738,106,57,-0.20900756887960567,3.533003788735015,1.8950230126774774,-0.7023545928025672,60,NA
ZAF,2018,178,1,AFR,162060,227999,0.7107925911955755,677,103,57,0.08898025137602054,3.178298291166863,1.8251630642275982,-0.7023545928025672,59,NA
ZAF,2019,178,1,AFR,170806,216725,0.788123197600646,615,99,57,0.38696807163164676,2.817777949376282,1.732016466294426,-0.7023545928025672,58,NA
ZAF,2020,178,1,AFR,130318,166064,0.7847456402350901,562,96,56,0.684955891887273,2.5095912055875593,1.6621565178445468,-0.7678617182182345,58,1
ZAF,2021,178,1,AFR,127431,161359,0.7897359304408182,513,93,55,0.9829437121428992,2.224663838688552,1.5922965693946676,-0.8333688436339016,57,1
ZAF,2022,178,1,AFR,161478,213343,0.7568938282484075,468,90,73,1.2809315323985255,1.9629958486792594,1.5224366209447886,0.3457594138481083,54,1
ZAF,2023,178,1,AFR,137732,194433,0.7083776930870789,427,88,79,1.5789193526541516,1.7245872355596816,1.4758633219782025,0.7388021663421116,54,1
SSD,2012,151,1,AFR,4413,8426,0.5237360550676478,407,181,19,-1.6989466701577367,1.608290351111107,3.641521723924456,-3.1916253585979217,31,NA
SSD,2013,151,1,AFR,5190,7240,0.7168508287292817,399,167,14,-1.4009588499021106,1.5617715973316775,3.3155086311583535,-3.519160985676258,15,NA
SSD,2014,151,1,AFR,5903,8335,0.7082183563287342,391,153,19,-1.1029710296464843,1.5152528435522477,2.9894955383922506,-3.1916253585979217,13,NA
SSD,2016,151,1,AFR,6277,7671,0.8182766262547256,376,134,26,-0.5069953891352319,1.4280301802158166,2.547049198209683,-2.733075480688251,12,NA
SSD,2017,151,1,AFR,9527,11908,0.8000503862949278,368,131,27,-0.20900756887960567,1.381511426436387,2.4771892497598036,-2.667568355272584,12,NA
SSD,2018,151,1,AFR,11547,14314,0.8066927483582507,361,108,40,0.08898025137602054,1.3408075168793858,1.9415963116440633,-1.81597572486891,12,NA
SSD,2019,151,1,AFR,14323,16949,0.8450646055814502,353,98,44,0.38696807163164676,1.294288763099956,1.708729816811133,-1.553947223206241,12,NA
SSD,2020,151,1,AFR,13417,16266,0.8248493790729128,346,98,43,0.684955891887273,1.253584853542955,1.708729816811133,-1.6194543486219084,12,1
SSD,2021,151,1,AFR,10239,12135,0.8437577255871446,339,91,47,0.9829437121428992,1.2128809439859538,1.5457232704280817,-1.3574258469592395,13,1
SSD,2022,151,1,AFR,15479,18865,0.8205141796978531,333,79,54,1.2809315323985255,1.1779918786513817,1.2662834766285649,-0.8988759690495689,12,1
SSD,2023,151,1,AFR,19470,22926,0.8492541219576027,326,63,64,1.5789193526541516,1.1372879690943805,0.8936970848958762,-0.24380471489289668,11,0
ESP,2012,50,4,EUR,4087,5738,0.7122690833042872,15,1,80,-1.6989466701577367,-0.6711285840809529,-0.550075183068293,0.8043092917577789,8.8,NA
ESP,2013,50,4,EUR,3992,5290,0.7546313799621929,14,0.83,82,-1.4009588499021106,-0.6769434283033815,-0.5540339134804528,0.9353235425891133,6.7,NA
ESP,2014,50,4,EUR,2708,4689,0.5775218596715718,12,0.79,83,-1.1029710296464843,-0.688573116748239,-0.5549653794597845,1.0008306680047805,7.3,NA
ESP,2016,50,4,EUR,3369,4903,0.6871303283703855,12,0.69,86,-0.5069953891352319,-0.688573116748239,-0.5572940444081138,1.1973520442517822,6.6,NA
ESP,2017,50,4,EUR,2739,4527,0.6050364479787939,11,0.66,86,-0.20900756887960567,-0.6943879609706677,-0.5579926438926126,1.1973520442517822,6.8,NA
ESP,2018,50,4,EUR,2065,4596,0.44930374238468235,11,0.68,86,0.08898025137602054,-0.6943879609706677,-0.5575269109029467,1.1973520442517822,6.8,NA
ESP,2019,50,4,EUR,2045,4386,0.4662562699498404,10,0.6,86,0.38696807163164676,-0.7002028051930964,-0.5593898428616101,1.1973520442517822,6.8,NA
